question,choices,answer_idx,source
"if white cold items drop from the sky, what might these be?","[""a gift from the heavens"", ""a cloud is crying"", ""it is an anomaly"", ""it is ice precipitation""]",3,openbookqa
Hagfishes have a skull made of what?,"[""gelatin"", ""cartilage"", ""bone"", ""chitin""]",1,sciq
What kind of a reaction if peptide bond formation?,"[""molten synthesis reaction"", ""reversed synthesis reaction"", ""dehydration synthesis reaction"", ""recharge synthesis reaction""]",2,sciq
Beaver dams can cause floods. This statement shows how,"[""animal growth is affected by environmental conditions"", ""animal behavior may affect the environment"", ""an animal's health depends on its environment"", ""an animal's development depends on its environment""]",1,arc_easy
"Hemoglobin, with four polypeptide chains or subunits, is the most frequently cited example of a protein having what kind of structure?","[""binary"", ""unary"", ""quaternary"", ""ternary""]",2,sciq
A body may find its temperature to be lowered after,"[""water is heated up"", ""fluid spreads from pores"", ""the air becomes arid"", ""the sky stays bright""]",1,openbookqa
What is the name for compounds that contain only carbon and hydrogen?,"[""hydrocarbons"", ""carbohydrates"", ""carbides"", ""particles""]",0,sciq
A lily wants to spread its genetic material around and so relies upon,"[""beads"", ""assistance"", ""shopping"", ""patients""]",1,openbookqa
The solution with the higher solute concentration is called what?,"[""hypotonic"", ""hypertonic"", ""acetic"", ""unsaturated""]",1,sciq
It takes the Earth one year to go around the sun. It takes the moon how long to make one revolution around our planet?,"[""2 months"", ""30 days"", ""2 years"", ""a decade""]",1,openbookqa
A student tosses a ball into the air. Which force causes the ball to fall back to the ground?,"[""gravity"", ""magnetism"", ""mechanical"", ""friction""]",0,arc_easy
Ions are charged what?,"[""atoms"", ""protons"", ""isotopes"", ""molecules""]",0,sciq
Which system are the brain and spinal cord apart of?,"[""large nervous system"", ""cerebral cortex"", ""central nervous system"", ""limbic system""]",2,sciq
What do skeletal muscles enable the body to do?,"[""breathe"", ""look"", ""move"", ""eat""]",2,sciq
"There are only four possible bases that make up each dna nucleotide: adenine, guanine, thymine, and?","[""cytosine"", ""phenylalanine"", ""guarine"", ""taurine""]",0,sciq
How does the core of the sun radiate energy?,"[""nuclear fusion"", ""carbon radiation"", ""electrical radiation"", ""nuclear fission""]",0,sciq
Which scientist is best known for studying plants and animals?,"[""Isaac Newton"", ""Albert Einstein"", ""Charles Darwin"", ""Nicolaus Copernicus""]",2,arc_easy
What requires nutrients for survival?,"[""buildings"", ""rocks"", ""badgers"", ""clouds""]",2,openbookqa
Natural gas burns cleaner and produces less carbon dioxide than fuels of what type?,"[""renewable fuels"", ""solar energy"", ""fossil fuels"", ""biofuels""]",2,sciq
What would classify students in a class differently?,"[""species"", ""favorite animal"", ""home planet"", ""current school""]",1,openbookqa
"Although much of the heart's basic structure is complete by the end of the fifth week, what fetal structures remain until birth or shortly after?","[""heart shunts"", ""renal arteries"", ""umbilical arteries"", ""blood shunts""]",3,sciq
"When an atom has a neutral charge, which particles within the atom have equal numbers?","[""electrons and neutrons"", ""protons and electrons"", ""neutrons and protons"", ""ions and neutrons""]",1,arc_easy
What is a high concentrated solution typically referred to as?,"[""percent solution"", ""saline sollution"", ""share solution"", ""stock solution""]",3,sciq
What is the name of the command center of the cell?,"[""mitochondria"", ""molecules"", ""vacuole"", ""nucleus""]",3,sciq
"Covering about 16 percent of the moon's surface, maria are dark, solid, flat areas consisting of what substance?","[""debris"", ""lava"", ""dust"", ""ash""]",1,sciq
Members of the genus trypanosoma are flagellate protozoa that cause what?,"[""cancer"", ""sleeping sickness"", ""mutations"", ""hypertension""]",1,sciq
What is an example of friction occurring?,"[""there is more resistance driving on gravel than on concrete"", ""a person thinks a thought"", ""an apple falls to the ground from a tree"", ""a spring bounces back and forth""]",0,openbookqa
To change an object's shape,"[""rip off a corner portion"", ""lay it flat on a table"", ""color the edges of it"", ""add a piece of tape to it""]",0,openbookqa
In the 60's people watched on TV while for the first time people walked on,"[""a high rooftop in a major city"", ""a satellite without much air in our solar system"", ""the edge of a cliff in the mountains"", ""a beach in Brazil""]",1,openbookqa
"The direct conversion of a solid to a gas, without an intervening liquid phase, is called what?","[""amplification"", ""isolation"", ""sublimation"", ""insertion""]",2,sciq
Marta studied different forms of energy. Which two types of energy travel in waves?,"[""light and sound"", ""electrical and sound"", ""chemical and light"", ""chemical and electrical""]",0,arc_easy
A student mixes a teaspoon of sugar in a large glass of water. What happens to the sugar when it is mixed with the water?,"[""It boils."", ""It melts."", ""It dissolves."", ""It evaporates.""]",2,arc_easy
An example of a flexible container,"[""Play dough"", ""Bricks"", ""Bones"", ""Carrots""]",0,openbookqa
The bottom of the ocean is called what?,"[""Intertidal zone"", ""Final zone"", ""the benthic zone"", ""Demersal zone""]",2,sciq
What is going to become dryer faster?,"[""A wet shoe outside"", ""A wet cloth in the fridge"", ""A wet cloth in the dirt"", ""A wet cloth under shade""]",0,openbookqa
A person with a pet amphibian will likely feed it,"[""meal worms"", ""deer"", ""steak"", ""wax""]",0,openbookqa
What event occurred at the close of the precambrian era?,"[""spontaneous mutation"", ""ecosystem succession"", ""natural selection"", ""a mass extinction""]",3,sciq
What is the process of drawing general conclusions based on many pieces of evidence?,"[""quantum reasoning"", ""inductive reasoning"", ""experimental reasoning"", ""primitive reasoning""]",1,sciq
Computers have devices called heat sinks designed to lower the temperature of a computer by scattering produced heat into the surrounding area. Which type of energy is kept away from a computer by a heat sink?,"[""electrical"", ""chemical"", ""thermal"", ""nuclear""]",2,arc_easy
What remains in the same location in the sky of the Northern Hemisphere each night?,"[""the Sun"", ""the Little Dipper"", ""the North Star"", ""the Moon""]",2,arc_easy
What happens to evolution when equilibrium is reached within the genes of the population?,"[""it goes backwards"", ""it stops occurring"", ""it accelerates"", ""it starts over""]",1,sciq
What fills the epidermal cells that make up fingernails and toenails?,"[""cellulose"", ""chromatin"", ""keratin"", ""amino acids""]",2,sciq
Which property of proteins best allows them to perform an enormously diverse range of functions?,"[""their large, chemical-energy reserve"", ""their large, stored-electric potential"", ""the complexity of their folded structure"", ""the wide variety of elements they include""]",2,arc_easy
Which statement about the genetic traits of humans is true?,"[""Recessive forms of genes are always visible in offspring."", ""Visible traits are the same for each member of a family."", ""Dominant forms of genes are always inherited from both parents."", ""Visible traits depend on the dominant and recessive forms of genes from each parent.""]",3,arc_easy
Which landforms are most like hills but are much taller?,"[""caves"", ""mountains"", ""plains"", ""valleys""]",1,arc_easy
What kind of energy causes evaporation?,"[""hot"", ""cold"", ""sound"", ""kinetic""]",0,openbookqa
"Manganin is made up of metals that include copper, manganese and nickel - what do you generally call a metal of this type?","[""complex metal"", ""silicon"", ""alloy"", ""mixed metal""]",2,sciq
Which of these tectonic plate boundaries is most likely to form a volcano?,"[""a continental plate colliding with a continental plate"", ""an oceanic plate sliding past a continental plate"", ""a continental plate sliding past a continental plate"", ""an oceanic plate colliding into a continental plate""]",3,arc_easy
Diamond is extremely hard because of the strong bonding between ______ in all directions?,"[""consistent atoms"", ""hydrogen atoms"", ""carbon atoms"", ""liquid atoms""]",2,sciq
The wrist and base of the hand are formed by what series of small bones arranged in distal and proximal rows?,"[""carpal"", ""patella"", ""cranial"", ""ribs""]",0,sciq
"Which of these are broken down during chemical, but not physical, changes?","[""elements"", ""mixtures"", ""solutions"", ""compounds""]",3,arc_easy
What do we call structures that are similar in related organisms because they were inherited from a common ancestor?,"[""monogamous"", ""polylogous"", ""homologous"", ""filamentous""]",2,sciq
Elk are protected where?,"[""dogs"", ""nat'l parks"", ""cats"", ""statues""]",1,openbookqa
Which three systems of the human body function together to move and control body parts?,"[""nervous, skeletal, and muscular"", ""muscular, endocrine, and excretory"", ""digestive, excretory, and reproductive"", ""circulatory, endocrine, and respiratory""]",0,arc_easy
What do communication satellites carry and use to provide energy during their missions?,"[""solar panels"", ""batteries"", ""infrared panels"", ""geothermal panels""]",0,sciq
A student throws a ball. Which of these best describes the moving ball?,"[""The ball has light energy."", ""The ball has kinetic energy."", ""The ball is transferring sound energy to the air."", ""The ball is transferring light energy to the air.""]",1,arc_easy
Melting ice and grinding wood into sawdust are examples of what?,"[""chemical changes"", ""physical changes"", ""unpredictable changes"", ""reversible changes""]",1,sciq
Sexual reproduction is the combination of (usually haploid) reproductive cells from two individuals to form a third (usually diploid) unique offspring. sexual reproduction produces offspring with novel combinations of what?,"[""features"", ""genes"", ""phenotypes"", ""cells""]",1,sciq
These would likely be broken down and recycled,"[""waste helium"", ""waste hydrogen"", ""pallets"", ""waste oil""]",2,openbookqa
"Bones are considered organs because they contain what, specifically?","[""tissue"", ""blood"", ""calcium"", ""DNA""]",0,sciq
An image that is double the size of the object would have what?,"[""stimulation"", ""magnification"", ""illumination"", ""configuration""]",1,sciq
plant stem is the vehicle for transporting water and food from roots to the rest of the,"[""solar harnessing life"", ""cupcake"", ""rock"", ""sneaker""]",0,openbookqa
"If soil is loose, it makes it what for oxygen to get in?","[""seven"", ""boring"", ""harder"", ""simpler""]",3,openbookqa
When the Platypus emerges and new life into the pouch it has been,"[""died"", ""birthed"", ""flown"", ""ran""]",1,openbookqa
What is the basic unit of matter?,"[""nucleus"", ""atom"", ""neutron"", ""dark material""]",1,sciq
All combustion reactions are what type of reactions?,"[""flammable"", ""geothermal"", ""reversible"", ""exothermic""]",3,sciq
"What is aggravated by practices such as logging, mining, construction, and paving surfaces?","[""soil erosion"", ""seismic activity"", ""water pollution"", ""global warming""]",0,sciq
Anne and her father find a 30-million year-old tropical plant fossil in Louisiana. Which question does the fossil help them answer?,"[""Were there mountains in Louisiana 30 million years ago?"", ""What was the climate like in Louisiana 30 million years ago?"", ""Were there earthquakes in Louisiana 30 million years ago?"", ""What kind of animals lived in Louisiana 30 million years ago?""]",1,arc_easy
What are elements that generally do not conduct electricity?,"[""copper"", ""metal"", ""nonmetals"", ""iron""]",2,sciq
Controlled burns help prevent wildfires by cleaning up,"[""dead foliage"", ""animal droppings"", ""wasp nests"", ""air pollution""]",0,openbookqa
"A field is experiencing above average rainfall and food is plentiful, so the rabbits living there will","[""produce larger litters"", ""find new land"", ""die much younger"", ""eat less food""]",0,openbookqa
What part of a bird is adapted for the food it eats?,"[""teeth"", ""head"", ""eye"", ""beak""]",3,sciq
"A dart frog is eaten by a pelican, who promptly","[""passes away"", ""wakes up"", ""eats birds"", ""flies home""]",0,openbookqa
What term means the adjusting of systems within a cell in order to restore balance or maintain equilibrium?,"[""systemic regulation"", ""aftertouch regulation"", ""gaseous regulation"", ""homeostatic regulation""]",3,sciq
Western coral snakes have a striped color pattern and are poisonous. Arizona mountain king snakes look like western coral snakes but are not poisonous. The color pattern of the Arizona mountain king snake is an example of,"[""camouflage."", ""mimicry."", ""mutualism."", ""parasitism.""]",1,arc_easy
What term is used to describe major changes in the genetic material?,"[""generational alterations"", ""eukaryotic alterations"", ""mutational alterations"", ""chromosomal alterations""]",3,sciq
What is the term for  a loop in which a product feeds back to control its own production?,"[""Recondition Mechanism"", ""load mechanism"", ""Adaptive Mechanism"", ""feedback mechanism""]",3,sciq
What kind of feeders are sponges?,"[""bottom feeders"", ""filter feeders"", ""primary feeders"", ""surface feeders""]",1,sciq
Deer ticks are the vectors for what disease that affects humans?,"[""dengue fever"", ""lyme disease"", ""malaria"", ""ringworm""]",1,sciq
Animals that defend their area are generally known as what kinds of animals?,"[""mutants"", ""neutral"", ""carnivores"", ""territorial""]",3,sciq
Where do physical laws govern energy flow and chemical cycling?,"[""oceans"", ""ecosystems"", ""habitats"", ""environments""]",1,sciq
What is it called when multiple faults are located in close proximity to one another?,"[""fault zone"", ""crystal zone"", ""solid zone"", ""fog zone""]",0,sciq
What term describes waves that transfer energy through matter?,"[""mechanical currents"", ""mechanical waves"", ""energy currents"", ""temperature waves""]",1,sciq
"What is used to measure, in degrees, the distance north or south of the equater?","[""elevation"", ""latitude"", ""magnitude"", ""equator""]",1,sciq
What three forms does frozen precipitation take?,"[""blizzard, frost, fog"", ""hail, wind, typhoon"", ""snow, sleet, freezing rain"", ""vapor, fog, ice""]",2,sciq
Students performing a scientific investigation are most likely trying to,"[""produce a new theory."", ""disprove a hypothesis."", ""reject a conclusion."", ""answer a question.""]",3,arc_easy
What has traditionally been defined as a force of attraction between two masses?,"[""gravity"", ""mass"", ""volume"", ""motion""]",0,sciq
What is the name of the second most electronegative element?,"[""nitrogen"", ""oxygen"", ""carbon"", ""Hydrogen""]",1,sciq
What is a measure of how much energy is needed to change the temperature of a substance?,"[""thermal potential"", ""specific gravity"", ""momentum"", ""specific heat""]",3,sciq
An example of feeling could be,"[""the sun on the leaves of a plant"", ""clothes on the thighs"", ""water running in a river"", ""air blowing trees around""]",1,openbookqa
Which difference between land and water contributes most directly to global climate change resulting from tectonic movement?,"[""mean material densities"", ""magnetic material content"", ""heat absorption and retention properties"", ""rate of radioactivity-related heat release""]",2,arc_easy
This object in your pocket is the most likely to shock you,"[""your phone"", ""your credit card"", ""your library card"", ""your wallet""]",0,openbookqa
Duckweed and cattails serve what role in the food chain in freshwater biomes?,"[""primary producer"", ""secondary consumer"", ""primary consumer"", ""tertiary consumer""]",0,sciq
What is the plasma membrane formed by?,"[""a cytoplasm bilayer"", ""cholesterol byproduct"", ""a phospholipid bilayer"", ""single lipid layer""]",2,sciq
What can sodium ions not pass through?,"[""nonpolar lipid bilayer"", ""benthic lipid bilayer"", ""narrowness lipid bilayer"", ""Lipid Control""]",0,sciq
What uses eyes to see by sensing light?,"[""trees"", ""algae"", ""worms"", ""elephants""]",3,openbookqa
"How do glucose, ions, and other larger molecules leave the blood?","[""through cell membranes"", ""through intercellular clefts"", ""through veinous fissures"", ""through capillary tips""]",1,sciq
Has the average annual temperature on earth been rising or falling for the past 100 years?,"[""rising"", ""fluctuating"", ""falling"", ""unchanged""]",0,sciq
Wetlands are environments in which the soil is either permanently or periodically saturated with what?,"[""hydrogen"", ""water"", ""spores"", ""oil""]",1,sciq
"When oxygen is not bound to heme and the partial pressure of oxygen is low, hemoglobin readily binds to what?","[""iron"", ""carbon"", ""carbon dioxide"", ""sulfur""]",2,sciq
"Earth, along with the other planets, revolves around the Sun. The planets revolve in a counterclockwise direction. The cause of the revolution is mostly due to which force?","[""electrical"", ""frictional"", ""gravitational"", ""magnetic""]",2,arc_easy
What model is used to show the pattern of traits that are passed from one generation to the next in a family?,"[""pedigree chart"", ""dichotomous key"", ""energy pyramid"", ""line graph""]",0,arc_easy
What type of behavior is frogs croaking or deer clashing antlers an example of?,"[""instincts"", ""learned behavior"", ""courtship"", ""mating""]",2,sciq
Transport of water and solutes in plants water potential is a measure of the difference in potential energy between a water sample and this?,"[""pure water"", ""dirty water"", ""salty water"", ""green water""]",0,sciq
The simplest organic compounds are known as what?,"[""amino acids"", ""carbohydrates"", ""hydrocarbons"", ""nucleotides""]",2,sciq
"A storm rages for two weeks, and the rivers and lakes swell past their holding capacity, so","[""the area becomes damp"", ""the surrounding land is underwater"", ""the wind blows over trees"", ""everything around burns down""]",1,openbookqa
"When sugar is added to water, it blends in such as in which drink?","[""milk"", ""lemonade"", ""juice"", ""tea""]",1,openbookqa
"The existence of the plasma membrane was identified in the 1890s, and its chemical components were identified in 1915. the principal components identified at that time were these?","[""gasses and proteins"", ""carbohydrates and proteins"", ""lipids and proteins"", ""lipids and carbohydrates""]",2,sciq
The Moon's rotation is,"[""faster than its revolution."", ""slower than its revolution."", ""half as fast as its revolution."", ""about the same as its revolution.""]",3,arc_easy
"In abalones and limpets, what is conical, but somewhat flattened?","[""the shell"", ""the head"", ""the bone"", ""the heart""]",0,sciq
Jagged mountains would most likely become rounded hills through which process?,"[""erosion"", ""deposition"", ""volcanic activity"", ""chemical change""]",0,arc_easy
Essential minerals that the body needs in tiny quantities are called what?,"[""flux minerals"", ""draw minerals"", ""byproduct minerals"", ""trace minerals""]",3,sciq
What requires sunlight to grow?,"[""lakes"", ""deep sea fish"", ""rose bushes"", ""mountains""]",2,openbookqa
The vector sum of all the torques acting on an object is called what?,"[""net torque"", ""torque load"", ""homeostasis"", ""peak capacity""]",0,sciq
"A bad spot in town, as far as nature and the health of Earth is concerned, will be","[""heaped refuse"", ""piled compost"", ""pollinated flowers"", ""watered gardens""]",0,openbookqa
Animals adapt to their what?,"[""appearance"", ""feet"", ""skin"", ""nature places""]",3,openbookqa
"In winter, the arctic fox has white fur. In summer, its fur changes color to brown and gray. The change in fur color helps the arctic fox to ___.","[""run"", ""mate"", ""hide"", ""hibernate""]",2,arc_easy
An individual with down's syndrome has 47 of what instead of the normal 46?,"[""chromosomes"", ""mitochondria"", ""prokaryotes"", ""ribosomes""]",0,sciq
All rocks are composed of,"[""fossils"", ""cells"", ""metals"", ""minerals""]",3,arc_easy
An environment is likely to change when humans,"[""make a building taller than before"", ""remodel and existing house"", ""clear hillside brush for houses"", ""have more people living in one house""]",2,openbookqa
"A creature that is lacking domestication, and is also lacking a wild space, perhaps occupies","[""a wild time"", ""a distant planet"", ""a small crater"", ""a displayed habitat""]",3,openbookqa
"If a wooded area is cleared and corn is planted, what will MOST likely happen?","[""Animal habitats will be destroyed."", ""The air will become polluted."", ""Weather patterns will change."", ""Underground streams will get polluted.""]",0,arc_easy
Scientists found evidence of a fish that lived millions of years ago. The fish had features that were possibly used to move on land. This fish is now extinct. What scientific evidence did the scientists most likely find that confirmed the existence of this fish?,"[""a fossil"", ""a description"", ""a photograph"", ""a cave drawing""]",0,arc_easy
Which of the following best describes a role of mushrooms in ecosystems?,"[""capturing energy from sunlight"", ""consuming living plant material"", ""taking energy from animal hosts"", ""breaking down dead plant material""]",3,arc_easy
What molecule is made of two hydrogen atoms and one oxygen atom?,"[""Oxygen"", ""water"", ""lipids"", ""carbohydrate""]",1,sciq
Volume can indicate,"[""how an object reacts to heat"", ""whether an object is expansive"", ""how an object smells"", ""the state of matter of an object""]",1,openbookqa
What occurs when the vapor pressure of a liquid is equal to the atmospheric pressure?,"[""freezing"", ""boiling"", ""evaporation"", ""melting""]",1,sciq
a car engine usually converts gasoline into motion and heat through what?,"[""air"", ""hot peppers"", ""water"", ""fiery reaction""]",3,openbookqa
A creature that completely goes unnoticed and unseen against a mottled leaf backdrop is probably,"[""indoors"", ""glowing"", ""neon"", ""matching""]",3,openbookqa
What is the process by which some solids transition directly into gases?,"[""articulation"", ""vaporization"", ""sublimation"", ""amplification""]",2,sciq
"Organisms that ""love"" acids are known as what?","[""acidophobes"", ""acidophiles"", ""acid heads"", ""acidic""]",1,sciq
Cancer develops when what process is unregulated?,"[""metabolism"", ""cell division"", ""cellular respiration"", ""meiosis""]",1,sciq
What layered form of carbon is used as a lubricant and in pencils?,"[""graphite"", ""copper"", ""lead"", ""carbonite""]",0,sciq
This inverse relationship between solubility and temperature can be understood by looking at a what?,"[""nutrient model"", ""a slide"", ""potassium model"", ""molecular model""]",3,sciq
Birds go south to look for,"[""Vacation"", ""Friends"", ""Insurance"", ""a different climate""]",3,openbookqa
"In science, what is a bit of information that is true?","[""lie"", ""theory"", ""a fact"", ""falsehood""]",2,sciq
What is an example of the fact that crop rotation renews the soil?,"[""planting rows of carrots and peas next to one another"", ""planting peas one season then carrots the next"", ""planting a field of corn with different types in it"", ""tilling the soil in between crops""]",1,openbookqa
What substance flows over the land from precipitation or melting snow or ice?,"[""nitrogen"", ""water"", ""air"", ""lava""]",1,sciq
What type of scientists study the effects people have on their environment?,"[""biological scientists"", ""environmental scientists"", ""integrated scientists"", ""ecological scientists""]",1,sciq
What is the purpose of your body's first line of defense?,"[""reject foreign bodies"", ""fight or flight"", ""heal wounds"", ""to keep out pathogens""]",3,sciq
What would thrive if Eagles died out,"[""air"", ""hamsters"", ""emotions"", ""magic""]",1,openbookqa
Which is likely true about water?,"[""oceans will evaporate more liquid than a lake"", ""streams will evaporate more liquid than anything"", ""lakes will evaporate more water than oceans"", ""streams will evaporate more water than oceans""]",0,openbookqa
"When a nerve impulse reaches the end of an axon, what are the chemicals released by the axon called?","[""neurons"", ""electrolytes"", ""neurotransmitters"", ""receptors""]",2,sciq
What is usually necessary to develop cancer?,"[""crucial genes mutations"", ""massive genes mutations"", ""multiple genes mutations"", ""novel genes mutations""]",2,sciq
Ionic liquids heating a salt to its melting point produces a what?,"[""table salt"", ""plasma"", ""molten salt"", ""gas""]",2,sciq
Natural selection cannot occur without,"[""competition for unlimited resources."", ""gradual warming of Earth."", ""genetic variation in species."", ""asexual reproduction in species.""]",2,arc_easy
Most tunicates live a sessile existence in shallow ocean waters and are suspension feeders. the primary foods of tunicates are plankton and this?,"[""bacteria"", ""detritus"", ""debris"", ""crustaceans""]",1,sciq
"Plants are like all other organisms, in that they need what to survive?","[""sustenance"", ""shoes"", ""games"", ""internet""]",0,openbookqa
What phenomenon is crowding out other species and making all the other causes of extinction worse?,"[""climate change"", ""human suburbanization"", ""migration"", ""human overpopulation""]",3,sciq
A person wanting to harvest tomatoes in the harshest winter in decades could do so if they obtained a,"[""snowblower"", ""shovel"", ""underground pool"", ""heat lamp""]",3,openbookqa
All living and nonliving material is composed of,"[""air"", ""elements"", ""water"", ""soil""]",1,arc_easy
"Branchiopoda are mostly small, freshwater animals that feed on?","[""algae and plankton"", ""nutrient and detritus"", ""fishery and detritus"", ""plankton and detritus""]",3,sciq
How do mammals ventilate their lungs?,"[""negative combination breathing"", ""negative atmospheric breathing"", ""negative pressure vocalizing"", ""negative pressure breathing""]",3,sciq
Which process turns a large rock into a pile of smaller stones?,"[""deposition"", ""sedimentation"", ""fossilizing"", ""weathering""]",3,arc_easy
Who invented the taxonomic classification system?,"[""Pascal"", ""gregor mendel"", ""carl linnaeus"", ""Isaac Newton""]",2,sciq
Living organisms are affected by changes in ph which can include basic conditions and what other kinds of conditions?,"[""carbolic"", ""sodium"", ""acidic"", ""complex""]",2,sciq
"In 1918, an outbreak of influenza infected 500,000 people all over the world. Tens of millions of those infected died. In 1994, an outbreak of pneumonic plague spread quickly through the city of Surat in India, killing 52 people. Which statement best describes the two events?","[""Both outbreaks were pandemics."", ""Both outbreaks were epidemics."", ""The influenza outbreak was a pandemic. The plague outbreak was an epidemic."", ""The influenza outbreak was an epidemic. The plague outbreak was a pandemic.""]",2,arc_easy
What are materials that are poor thermal conductors called?,"[""thermal insulators"", ""sunlight insulators"", ""warmth insulators"", ""pollution insulators""]",0,sciq
"When electricity is used to run appliances in a building, the electricity is measured in kilowatt-hours. Which of these units could be used in place of ""kilowatt-hour""?","[""joule"", ""newton"", ""specific heat"", ""thermal expansion""]",0,arc_easy
The skull is a part of a vertebrate endoskeleton that encloses and protects what organ?,"[""brain"", ""lung"", ""heart"", ""nervous system""]",0,sciq
What is the term for anything that can cause cancer?,"[""contaminate"", ""chemical"", ""contamination"", ""carcinogen""]",3,sciq
What ultimately results in the cycling of nutrients in ecosystems?,"[""molecules between organisms"", ""chemical bonds"", ""interactions between organisms"", ""digestion""]",2,sciq
"If a globe has a range of populace, it likely also has","[""old babies"", ""varied homes"", ""poisoned blood"", ""teal rabbits""]",1,openbookqa
What parts of a human possess the highest concentration of thermoreceptors?,"[""hand and ears"", ""hands and feet"", ""face and hair"", ""face and ears""]",3,sciq
"Name the missing type of light: ultraviolet, infrared, ___________.","[""vertical"", ""predictable"", ""distinct"", ""visible""]",3,sciq
What is the earths crust composed of?,"[""sedimentary rock"", ""bicellular rock"", ""metamorphic rock"", ""igneuos rock""]",3,sciq
An example of hydrolysis working within our bodies is the process of what?,"[""digestion"", ""absorption"", ""filtration"", ""breathing""]",0,sciq
Living things depend on energy from,"[""the Sun"", ""the Moon"", ""soil"", ""water""]",0,arc_easy
Electrophiles have a strong tendency to react with what?,"[""nucleophiles"", ""neutrons"", ""resistors"", ""acids""]",0,sciq
"What type of galaxies have a rotating disk of stars and dust, a bulge in the middle, and several arms?","[""pinwheel galaxies"", ""round galaxies"", ""spherical galaxies"", ""spiral galaxies""]",3,sciq
"Milk is usually subjected to what process, where high temperatures denature the proteins in bacteria so they cannot carry out functions needed to grow and multiply?","[""vaporization"", ""Cleaning"", ""pasteurization"", ""crystallization""]",2,sciq
What do most amphibians breathe with as larvae?,"[""pores"", ""gills"", ""nasal passages"", ""lungs""]",1,sciq
"If water from a spring can't flow downwards, it can spread out to form one of 2 things.  what are they?","[""lake or ocean"", ""ocean or sea"", ""ocean or river"", ""pond or lake""]",3,sciq
Vivipary refers to the development and nourishment of a what?,"[""seed"", ""egg"", ""embryo"", ""nucleus""]",2,sciq
"What crystals consist of molecules at the lattice points of the crystal, held together by relatively weak intermolecular forces?","[""quartz crystals"", ""molecular crystals"", ""healing crystals"", ""salt crystals""]",1,sciq
All cells need what for energy?,"[""oxygen"", ""light"", ""glucose"", ""insulin""]",2,sciq
Molar mass is equal to density multiplied by what?,"[""molar energy"", ""molar weight"", ""molar gravity"", ""molar volume""]",3,sciq
What simple machine works with a wheel and axle in a wheelbarrow?,"[""pulley"", ""lever"", ""blade"", ""hammer""]",1,sciq
Sleet is made out of water that is,"[""vapor"", ""hot"", ""liquid"", ""cold""]",3,openbookqa
"When bread bakes, yeast releases which gas?","[""carbon monoxide"", ""carbon dioxide"", ""hydrogen"", ""oxygen""]",1,sciq
Sodium is a metal with one valence electron. Which of these elements has properties similar to sodium?,"[""magnesium"", ""potassium"", ""aluminum"", ""calcium""]",1,arc_easy
"What is the term for very large arrays of tandemly repeating, non-coding dna?","[""satellite dna"", ""models dna"", ""addition dna"", ""recombinant dna""]",0,sciq
Which cell gives rise to all cells of the human body?,"[""signaler stem cell"", ""omnipoten stem cell"", ""schwann stem cell"", ""totipotent stem cell""]",3,sciq
The rate of a reaction can be expressed either in terms of the decrease in the amount of what or the increase in the amount of a product per unit time?,"[""reactant"", ""sulfate"", ""isotope"", ""plasma""]",0,sciq
The posterior end of a typical rib is called what?,"[""neck"", ""head"", ""bottom"", ""chest""]",1,sciq
A cow can see that the farmer is coming because there is light that makes its way,"[""into his eyes"", ""into the moon"", ""into the sun"", ""into a bucket""]",0,openbookqa
What is the term for a symbiotic relationship in which the parasite benefits while the host is harmed?,"[""infection"", ""reciprocity"", ""parasitism"", ""pathology""]",2,sciq
What is unique and found in all living things because it can form up to four covalent bonds between atoms or molecules?,"[""hydrogen"", ""carbon"", ""potassium"", ""oxygen""]",1,sciq
"What system consists of structures that produce eggs, secrete female sex hormones, and ultimately enable birth of a fetus?","[""female reproductive system"", ""female uterus system"", ""female hormone system"", ""male reproductive system""]",0,sciq
What safety rule is most important for students to follow when working with acids and bases?,"[""wear nose plugs"", ""put on safety goggles"", ""put away all lab supplies"", ""wear heavy cloth gloves""]",1,arc_easy
A plane travels through the air surrounding a,"[""planet"", ""black hole"", ""submarine"", ""cave""]",0,openbookqa
Leaves are the part of a plant with the most a type of,"[""root"", ""bud"", ""bacteria"", ""specialized compartment""]",3,openbookqa
What can ultimately result when species are introduced to a new place and prey on other species?,"[""depletion"", ""extinction"", ""elimination"", ""over population""]",1,sciq
What is the name for unsaturated hydrocarbons that contain at least one double bond?,"[""lipids"", ""acids"", ""alkenes"", ""enzymes""]",2,sciq
What system consists of all the muscles of the body?,"[""muscular"", ""digestive"", ""endocrine"", ""vascular""]",0,sciq
"A scientist developed a model that described the actions of DNA in the cell nuclei, which helped explain how traits were inherited. Which scientist helped develop this model?","[""Bohr"", ""Hooke"", ""Mendel"", ""Watson""]",3,arc_easy
"If a tree is going to give its essence to another tree, it needs to use","[""small creatures"", ""great stamina"", ""positive attitude"", ""mighty strength""]",0,openbookqa
What is each half of the cerebrum called?,"[""demisphere"", ""a describe"", ""a biplane"", ""a hemisphere""]",3,sciq
"When cutting down rain forests, it is important to keep in mind air quality. When too many trees are cut down in a given area, there may be decrease in the air's","[""quality"", ""carbon dioxide"", ""helium amounts"", ""carbin dioyide levels""]",0,openbookqa
What is the density needed to just halt universal expansion called?,"[""critical density"", ""instance density"", ""stop density"", ""allow density""]",0,sciq
